gene_ID	Name	moduleColor	MM	Functional_Category	biological_process	molecular_function
gene:Rv1915	aceAa	black	0.820481025	intermediary metabolism and respiration	carbohydrate metabolic process	lyase activity
gene:Rv1916	aceAb	black	0.70567264	intermediary metabolism and respiration	NA	lyase activity
gene:Rv0686	Rv0686	black	0.741142187	cell wall and cell processes	NA	NA
gene:Rv3161c	Rv3161c	black	0.696526753	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2385	mbtJ	black	0.54763856	lipid metabolism	NA	hydrolase activity
gene:Rv1331	Rv1331	black	0.717686049	conserved hypotheticals	NA	NA
gene:Rv2461c	clpP1	black	0.682905409	intermediary metabolism and respiration	protein catabolic process	catalytic activity, acting on a protein, hydrolase activity
gene:Rv2140c	TB18.6	black	0.702153914	conserved hypotheticals	NA	NA
gene:Rv0856	Rv0856	black	0.624395732	conserved hypotheticals	NA	NA
gene:Rv0564c	gpdA1	black	0.58270372	lipid metabolism	NA	NA
gene:Rv1926c	mpt63	black	0.862977424	cell wall and cell processes	NA	NA
gene:Rv3010c	pfkA	black	0.81862324	intermediary metabolism and respiration	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, carbohydrate metabolic process	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, carbohydrate metabolic process, transferase activity
gene:Rv2218	lipA	black	0.671182854	intermediary metabolism and respiration	sulfur compound metabolic process, lipid metabolic process, protein maturation, protein modification process	sulfur compound metabolic process, lipid metabolic process, transferase activity
gene:Rv2369c	Rv2369c	black	0.72486021	conserved hypotheticals	NA	NA
gene:Rv0274	Rv0274	black	0.739412406	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv1219c	Rv1219c	black	0.873794946	regulatory proteins	NA	NA
gene:Rv2616	Rv2616	black	0.687736095	conserved hypotheticals	NA	NA
gene:Rv0670	end	black	0.871257899	information pathways	DNA repair	catalytic activity, acting on DNA, hydrolase activity, DNA binding
gene:Rv0046c	ino1	black	0.849177496	intermediary metabolism and respiration	carbohydrate metabolic process, lipid metabolic process	isomerase activity
gene:Rv2730	Rv2730	black	0.549464136	conserved hypotheticals	NA	NA
gene:Rv1498A	Rv1498A	black	0.512588357	conserved hypotheticals	NA	NA
gene:Rv1217c	Rv1217c	black	0.670334321	cell wall and cell processes	NA	NA
gene:Rv0549c	vapC3	black	0.754642982	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv1467c	fadE15	black	0.859792878	lipid metabolism	NA	oxidoreductase activity
gene:Rv0678	Rv0678	black	0.968586143	conserved hypotheticals	NA	NA
gene:Rv3159c	PPE53	black	0.858334741	PE/PPE	NA	NA
gene:Rv2865	relF	black	0.768211661	virulence, detoxification, adaptation	regulation of transcription, DNA-templated	molecular sequestering activity, DNA binding
gene:Rv3735	Rv3735	black	0.774796831	conserved hypotheticals	NA	NA
gene:Rv3173c	Rv3173c	black	0.549367292	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv3142c	Rv3142c	black	0.41499921	conserved hypotheticals	NA	NA
gene:Rv1218c	Rv1218c	black	0.850094871	cell wall and cell processes	NA	NA
gene:Rv0233	nrdB	black	0.807131321	information pathways	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	oxidoreductase activity
gene:Rv0898c	Rv0898c	black	0.895874302	conserved hypotheticals	NA	NA
gene:Rv2556c	Rv2556c	black	0.581327085	conserved hypotheticals	NA	NA
gene:Rv2286c	Rv2286c	black	0.749939106	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv2718c	nrdR	black	0.789991668	regulatory proteins	regulation of transcription, DNA-templated	DNA binding
gene:Rv0388c	PPE9	black	0.708779796	PE/PPE	NA	NA
gene:Rv1739c	Rv1739c	black	0.843784589	cell wall and cell processes	sulfur compound metabolic process, transmembrane transport	transmembrane transport, transporter activity
gene:Rv0744c	Rv0744c	black	0.679415436	regulatory proteins	NA	DNA binding
gene:Rv0743c	Rv0743c	black	0.582714064	conserved hypotheticals	NA	NA
gene:Rv3627c	Rv3627c	black	0.34010369	conserved hypotheticals	carbohydrate derivative metabolic process, cell wall organization or biogenesis	catalytic activity, acting on a protein, hydrolase activity
gene:Rv0676c	mmpL5	black	0.910005527	cell wall and cell processes	NA	NA
gene:Rv1213	glgC	black	0.845351186	intermediary metabolism and respiration	carbohydrate metabolic process, generation of precursor metabolites and energy	transferase activity
gene:Rv1234	Rv1234	black	0.869714534	cell wall and cell processes	NA	NA
gene:Rv2602	vapC41	black	0.724173575	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv3699	Rv3699	black	0.894521211	conserved hypotheticals	NA	NA
gene:Rv1216c	Rv1216c	black	0.796322499	cell wall and cell processes	NA	NA
gene:Rv1988	erm(37)	black	0.536885349	intermediary metabolism and respiration	ribosome biogenesis	ribosome biogenesis, catalytic activity, acting on RNA, transferase activity, RNA binding
gene:Rv0903c	prrA	black	0.597280015	regulatory proteins	regulation of transcription, DNA-templated, signaling, intracellular	signaling, molecular transducer activity, DNA binding, regulation of transcription, DNA-templated
gene:Rv3278c	Rv3278c	black	0.694932356	cell wall and cell processes	NA	NA
gene:Rv0258c	Rv0258c	black	0.823517667	conserved hypotheticals	regulation of transcription, DNA-templated	NA
gene:Rv0250c	Rv0250c	black	0.879135847	conserved hypotheticals	NA	NA
gene:Rv2926c	Rv2926c	black	0.56158359	conserved hypotheticals	NA	NA
gene:Rv1615	Rv1615	black	0.80752495	cell wall and cell processes	NA	NA
gene:Rv3172c	Rv3172c	black	0.422778775	conserved hypotheticals	NA	NA
gene:Rv2601A	vapB41	black	0.811928292	virulence, detoxification, adaptation	regulation of transcription, DNA-templated	NA
gene:Rv0677c	mmpS5	black	0.934640913	cell wall and cell processes	NA	NA
gene:Rv2217	lipB	black	0.535798763	intermediary metabolism and respiration	sulfur compound metabolic process, lipid metabolic process, protein maturation, protein modification process	catalytic activity, acting on a protein, transferase activity
gene:Rv1721c	vapB12	black	0.790436023	virulence, detoxification, adaptation	regulation of transcription, DNA-templated	NA
gene:Rv3283	sseA	black	0.528582723	intermediary metabolism and respiration	NA	transferase activity
gene:Rv3547	ddn	black	0.660729735	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2674	msrB	black	0.532099518	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv0675	echA5	blue	0.602645072	lipid metabolism	NA	lyase activity
gene:Rv2867c	Rv2867c	blue	0.747757416	intermediary metabolism and respiration	NA	transferase activity
gene:Rv3176c	mesT	blue	0.783822332	virulence, detoxification, adaptation	NA	hydrolase activity
gene:Rv1727	Rv1727	blue	0.921000391	conserved hypotheticals	NA	NA
gene:Rv2879c	Rv2879c	blue	0.598318744	conserved hypotheticals	NA	NA
gene:Rv2264c	Rv2264c	blue	0.811218333	conserved hypotheticals	protein folding	protein folding chaperone
gene:Rv3016	lpqA	blue	0.73153612	cell wall and cell processes	NA	NA
gene:Rv1990A	Rv1990A	blue	0.819302964	intermediary metabolism and respiration	NA	NA
gene:Rv0877	Rv0877	blue	0.568821005	conserved hypotheticals	NA	NA
gene:Rv1972	Rv1972	blue	0.600764102	cell wall and cell processes	NA	NA
gene:Rv1803c	PE_PGRS32	blue	0.491636842	PE/PPE	NA	NA
gene:Rv0612	Rv0612	blue	0.802735298	conserved hypotheticals	NA	NA
gene:Rv1760	Rv1760	blue	0.85845328	lipid metabolism	lipid metabolic process, carbohydrate metabolic process	transferase activity
gene:Rv1268c	Rv1268c	blue	0.159987902	conserved hypotheticals	NA	NA
gene:Rv1834	lipZ	blue	0.745630765	intermediary metabolism and respiration	NA	hydrolase activity
gene:Rv2182c	Rv2182c	blue	0.916808267	conserved hypotheticals	lipid metabolic process	transferase activity
gene:Rv1977	Rv1977	blue	0.882403402	conserved hypotheticals	protein catabolic process	catalytic activity, acting on a protein, hydrolase activity
gene:Rv1671	Rv1671	blue	0.827488817	cell wall and cell processes	NA	NA
gene:Rv0615	Rv0615	blue	0.897371703	cell wall and cell processes	NA	NA
gene:Rv1966	mce3A	blue	0.66357433	virulence, detoxification, adaptation	NA	NA
gene:Rv2143	Rv2143	blue	0.840643685	conserved hypotheticals	NA	NA
gene:Rv2266	cyp124	blue	0.712912906	intermediary metabolism and respiration	lipid metabolic process	oxidoreductase activity
gene:Rv1967	mce3B	blue	0.695741292	virulence, detoxification, adaptation	NA	NA
gene:Rv2037c	Rv2037c	blue	0.710327062	cell wall and cell processes	lipid metabolic process	hydrolase activity
gene:Rv0064	Rv0064	blue	0.926263186	cell wall and cell processes	NA	NA
gene:Rv2297	Rv2297	blue	0.480525498	conserved hypotheticals	NA	NA
gene:Rv3539	PPE63	blue	0.866823716	PE/PPE	NA	NA
gene:Rv0943c	Rv0943c	blue	0.710081885	intermediary metabolism and respiration	NA	NA
gene:Rv0530A	Rv0530A	blue	0.838531174	conserved hypotheticals	NA	NA
gene:Rv1992c	ctpG	blue	0.808650946	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity, hydrolase activity
gene:Rv2664	Rv2664	blue	0.836559876	conserved hypotheticals	NA	NA
gene:Rv2631	Rv2631	blue	0.53845623	conserved hypotheticals	NA	NA
gene:Rv2077c	Rv2077c	blue	0.808501106	cell wall and cell processes	NA	NA
gene:Rv1964	yrbE3A	blue	0.776933688	virulence, detoxification, adaptation	NA	transporter activity
gene:Rv3287c	rsbW	blue	0.928169331	information pathways	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, hydrolase activity
gene:Rv0571c	Rv0571c	blue	0.873123477	conserved hypotheticals	NA	hydrolase activity, transferase activity
gene:Rv1989c	Rv1989c	blue	0.906995984	conserved hypotheticals	NA	NA
gene:Rv3286c	sigF	blue	0.894605132	information pathways	regulation of transcription, DNA-templated, lipid metabolic process, transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv3079c	Rv3079c	blue	0.894706975	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv0116c	ldtA	blue	0.787004336	cell wall and cell processes	carbohydrate derivative metabolic process, cell wall organization or biogenesis	catalytic activity, acting on a protein, hydrolase activity, transferase activity
gene:Rv1965	yrbE3B	blue	0.709407774	virulence, detoxification, adaptation	NA	transporter activity
gene:Rv3288c	usfY	blue	0.872122663	conserved hypotheticals	NA	NA
gene:Rv1228	lpqX	blue	0.813402963	cell wall and cell processes	NA	NA
gene:Rv3548c	Rv3548c	blue	0.662050014	intermediary metabolism and respiration	lipid metabolic process	oxidoreductase activity
gene:Rv2663	Rv2663	blue	0.76461186	conserved hypotheticals	NA	NA
gene:Rv2687c	Rv2687c	blue	0.814224295	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv1968	mce3C	blue	0.621761445	virulence, detoxification, adaptation	NA	NA
gene:Rv2639c	Rv2639c	blue	0.764446749	cell wall and cell processes	NA	NA
gene:Rv3289c	Rv3289c	blue	0.696604856	cell wall and cell processes	NA	NA
gene:Rv3533c	PPE62	blue	0.771953187	PE/PPE	NA	NA
gene:Rv1974	Rv1974	blue	0.466694508	cell wall and cell processes	NA	NA
gene:Rv3054c	Rv3054c	blue	0.845828224	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv2146c	Rv2146c	blue	0.838680617	cell wall and cell processes	NA	NA
gene:Rv1828	Rv1828	blue	0.431089149	conserved hypotheticals	regulation of transcription, DNA-templated	DNA binding
gene:Rv1937	Rv1937	blue	0.812254743	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv1285	cysD	blue	0.903736883	intermediary metabolism and respiration	sulfur compound metabolic process	transferase activity
gene:Rv1777	cyp144	blue	0.736817109	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv1645c	Rv1645c	blue	0.910663537	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv0842	Rv0842	blue	0.761746088	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv1976c	Rv1976c	blue	0.881460333	conserved hypotheticals	NA	NA
gene:Rv0340	Rv0340	blue	0.735151344	conserved hypotheticals	NA	NA
gene:Rv3221A	rshA	blue	0.836096071	information pathways	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated
gene:Rv0160c	PE4	blue	0.876772006	PE/PPE	NA	NA
gene:Rv2295	Rv2295	blue	0.607106586	conserved hypotheticals	NA	NA
gene:Rv2204c	Rv2204c	blue	0.816643049	conserved hypotheticals	protein maturation, sulfur compound metabolic process	NA
gene:Rv1266c	pknH	blue	0.75975432	regulatory proteins	protein modification process, regulation of transcription, DNA-templated	catalytic activity, acting on a protein, transferase activity
gene:Rv3235	Rv3235	blue	0.629362851	conserved hypotheticals	NA	NA
gene:Rv2516c	Rv2516c	blue	0.879235008	conserved hypotheticals	NA	NA
gene:Rv0771	Rv0771	blue	0.807585945	intermediary metabolism and respiration	detoxification	oxidoreductase activity, antioxidant activity
gene:Rv2188c	pimB	blue	0.154590021	lipid metabolism	carbohydrate derivative metabolic process, lipid metabolic process	transferase activity
gene:Rv3751	Rv3751	blue	0.878390206	insertion seqs and phages	DNA recombination	DNA binding
gene:Rv1149	Rv1149	blue	0.784976261	insertion seqs and phages	NA	NA
gene:Rv1041c	Rv1041c	blue	0.716762846	insertion seqs and phages	DNA recombination	catalytic activity, acting on DNA, DNA binding
gene:Rv1970	lprM	blue	0.49428623	cell wall and cell processes	NA	NA
gene:Rv0307c	Rv0307c	blue	0.831555954	conserved hypotheticals	NA	NA
gene:Rv0223c	Rv0223c	blue	0.749435396	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv3080c	pknK	blue	0.81369072	regulatory proteins	protein modification process, regulation of transcription, DNA-templated	catalytic activity, acting on a protein, transferase activity
gene:Rv1994c	cmtR	blue	0.830331429	regulatory proteins	regulation of transcription, DNA-templated	DNA binding, small molecule sensor activity, regulation of transcription, DNA-templated
gene:Rv1868	Rv1868	blue	0.823844707	conserved hypotheticals	NA	NA
gene:Rv0672	fadE8	blue	0.406565791	lipid metabolism	NA	oxidoreductase activity
gene:Rv2087	Rv2087	blue	0.616144849	insertion seqs and phages	NA	NA
gene:Rv3437	Rv3437	blue	0.849790122	cell wall and cell processes	NA	NA
gene:Rv2018	Rv2018	blue	0.954862947	conserved hypotheticals	NA	NA
gene:Rv1990c	Rv1990c	blue	0.849269395	regulatory proteins	NA	NA
gene:Rv3636	Rv3636	blue	0.728967182	insertion seqs and phages	NA	NA
gene:Rv0028	Rv0028	blue	0.54410762	conserved hypotheticals	NA	NA
gene:Rv3136A	Rv3136A	blue	0.854730915	conserved hypotheticals	NA	NA
gene:Rv0622	Rv0622	blue	0.740330882	cell wall and cell processes	NA	NA
gene:Rv3098c	Rv3098c	blue	0.929130931	conserved hypotheticals	NA	NA
gene:Rv1969	mce3D	blue	0.459718483	virulence, detoxification, adaptation	NA	NA
gene:Rv0588	Rv0588	blue	0.658448007	NULL	NA	NA
gene:Rv1286	Rv1286	blue	0.899990667	NULL	NA	NA
gene:Rv3840	Rv3840	blue	0.787322883	regulatory proteins	NA	NA
gene:Rv3046c	Rv3046c	blue	0.846673124	conserved hypotheticals	NA	NA
gene:Rv3347c	PPE55	blue	0.760842745	PE/PPE	NA	NA
gene:Rv0754	PE_PGRS11	blue	0.588637831	PE/PPE	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, carbohydrate metabolic process	isomerase activity
gene:Rv0131c	fadE1	blue	0.908924414	lipid metabolism	NA	oxidoreductase activity
gene:Rv1907c	Rv1907c	blue	0.51326046	conserved hypotheticals	NA	NA
gene:Rv2036	Rv2036	blue	0.865957089	conserved hypotheticals	NA	NA
gene:Rv0810c	Rv0810c	blue	0.895990071	conserved hypotheticals	NA	NA
gene:Rv2961	Rv2961	blue	0.905585233	insertion seqs and phages	DNA recombination	catalytic activity, acting on DNA, DNA binding
gene:Rv2912c	Rv2912c	blue	0.68787822	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv3166c	Rv3166c	blue	0.754047988	conserved hypotheticals	NA	NA
gene:Rv0758	phoR	blue	0.768684022	regulatory proteins	signaling, intracellular, protein modification process	transferase activity, protein modification process, signaling, small molecule sensor activity, catalytic activity, acting on a protein
gene:Rv1908c	katG	blue	0.686908155	virulence, detoxification, adaptation	detoxification	oxidoreductase activity, antioxidant activity
gene:Rv3290c	lat	blue	0.686977535	intermediary metabolism and respiration	cellular amino acid metabolic process	transferase activity
gene:Rv2570	Rv2570	blue	0.900136904	conserved hypotheticals	NA	NA
gene:Rv1088	PE9	blue	0.52314576	PE/PPE	NA	NA
gene:Rv2776c	Rv2776c	blue	0.745710623	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv1707	Rv1707	blue	0.626214731	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv3052c	nrdI	blue	0.622250657	information pathways	protein modification process	NA
gene:Rv1366A	Rv1366A	blue	0.679289975	conserved hypotheticals	NA	NA
gene:Rv3022A	PE29	blue	0.45335823200000003	PE/PPE	NA	NA
gene:Rv0065	vapC1	blue	0.407206645	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv1322	Rv1322	blue	0.455384981	conserved hypotheticals	NA	NA
gene:Rv0550c	vapB3	blue	0.561667004	virulence, detoxification, adaptation	NA	NA
gene:Rv0322	udgA	blue	0.465871316	intermediary metabolism and respiration	carbohydrate metabolic process, carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	oxidoreductase activity
gene:Rv2296	Rv2296	blue	0.308101818	intermediary metabolism and respiration	NA	NA
gene:Rv3568c	hsaC	blue	0.705301807	intermediary metabolism and respiration	lipid metabolic process	oxidoreductase activity
gene:Rv1805c	Rv1805c	blue	0.606287044	conserved hypotheticals	NA	NA
gene:Rv0476	Rv0476	blue	0.790715779	cell wall and cell processes	NA	NA
gene:Rv2643	arsC	blue	0.773379709	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv1135c	PPE16	blue	0.752955649	PE/PPE	NA	NA
gene:Rv2920c	amt	blue	0.763788251	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv0345	Rv0345	blue	0.588781208	conserved hypotheticals	NA	NA
gene:Rv2709	Rv2709	blue	0.750031953	cell wall and cell processes	NA	NA
gene:Rv0941c	Rv0941c	blue	0.70989161	conserved hypotheticals	NA	NA
gene:Rv2169c	Rv2169c	blue	0.897592834	cell wall and cell processes	NA	NA
gene:Rv3165c	Rv3165c	blue	0.834133664	conserved hypotheticals	NA	NA
gene:Rv1955	higB	blue	0.675220219	virulence, detoxification, adaptation	NA	NA
gene:Rv1971	mce3F	blue	0.359656134	virulence, detoxification, adaptation	NA	NA
gene:Rv3177	Rv3177	blue	0.460651741	virulence, detoxification, adaptation	lipid metabolic process, detoxification	hydrolase activity, oxidoreductase activity, antioxidant activity
gene:Rv3650	PE33	blue	0.403504959	PE/PPE	NA	NA
gene:Rv0137c	msrA	blue	0.896823054	intermediary metabolism and respiration	protein modification process	oxidoreductase activity
gene:Rv2913c	Rv2913c	blue	0.718124421	intermediary metabolism and respiration	NA	hydrolase activity
gene:Rv3334	Rv3334	blue	0.899213608	regulatory proteins	regulation of transcription, DNA-templated	DNA binding
gene:Rv3169	Rv3169	blue	0.800128737	conserved hypotheticals	NA	NA
gene:Rv0589	mce2A	blue	0.560349226	virulence, detoxification, adaptation	NA	NA
gene:Rv3188	Rv3188	blue	0.824160724	conserved hypotheticals	NA	NA
gene:Rv1895	Rv1895	blue	0.698953537	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2042c	Rv2042c	blue	0.393365852	conserved hypotheticals	NA	NA
gene:Rv3053c	nrdH	blue	0.717973673	information pathways	generation of precursor metabolites and energy	generation of precursor metabolites and energy, oxidoreductase activity, catalytic activity, acting on a protein
gene:Rv2669	Rv2669	blue	0.799925897	intermediary metabolism and respiration	NA	transferase activity
gene:Rv0068	Rv0068	blue	0.569769877	intermediary metabolism and respiration	NA	NA
gene:Rv0573c	pncB2	blue	0.810725032	intermediary metabolism and respiration	nucleobase-containing small molecule metabolic process	ligase activity, transferase activity
gene:Rv1734c	Rv1734c	blue	0.537001913	conserved hypotheticals	NA	transferase activity
gene:Rv2642	Rv2642	blue	0.720226233	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated
gene:Rv2298	Rv2298	blue	0.233060131	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv0967	csoR	blue	0.649058278	regulatory proteins	regulation of transcription, DNA-templated	DNA binding, regulation of transcription, DNA-templated, small molecule sensor activity
gene:Rv1364c	Rv1364c	blue	0.483298029	information pathways	regulation of transcription, DNA-templated	hydrolase activity, catalytic activity, acting on a protein, transferase activity
gene:Rv1586c	Rv1586c	blue	0.612943269	insertion seqs and phages	DNA recombination	catalytic activity, acting on DNA, DNA recombination, DNA binding
gene:Rv3163c	Rv3163c	blue	0.508745013	cell wall and cell processes	NA	NA
gene:Rv3848	Rv3848	blue	0.356122766	cell wall and cell processes	NA	transmembrane transport, transporter activity
gene:Rv1781c	malQ	blue	0.696336587	intermediary metabolism and respiration	carbohydrate metabolic process, generation of precursor metabolites and energy	generation of precursor metabolites and energy, carbohydrate metabolic process, transferase activity
gene:Rv1724c	Rv1724c	blue	0.45753546	conserved hypotheticals	NA	NA
gene:Rv0826	Rv0826	blue	0.697103135	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv0397A	Rv0397A	blue	0.703369486	conserved hypotheticals	NA	NA
gene:Rv0590	mce2B	blue	0.349017359	virulence, detoxification, adaptation	NA	NA
gene:Rv3007c	Rv3007c	blue	0.89726538	intermediary metabolism and respiration	nucleobase-containing small molecule metabolic process	oxidoreductase activity
gene:Rv1255c	Rv1255c	blue	0.576807134	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv2302	Rv2302	blue	0.71969606	conserved hypotheticals	NA	NA
gene:Rv2780	ald	blue	0.636481656	intermediary metabolism and respiration	cellular amino acid metabolic process	oxidoreductase activity
gene:Rv0766c	cyp123	blue	0.545182507	intermediary metabolism and respiration	lipid metabolic process	oxidoreductase activity
gene:Rv1352	Rv1352	blue	0.395700847	conserved hypotheticals	NA	NA
